domain,media_name
www.dailysecu.com,데일리시큐
www.gukjenews.com,국제뉴스
www.betanews.net:8080, 베타뉴스
www.inews24.com,아이뉴스24
www.boannews.com,보안뉴스
www.itworld.co.kr,ITWorld Korea
www.enewstoday.co.kr,이뉴스투데이
www.daejonilbo.com,대전일보
www.dhnews.co.kr,대학저널
www.datanet.co.kr,데이터넷
www.edaily.co.kr,이데일리
www.tourtimes.net,디스커버리뉴스
zdnet.co.kr,지디넷코리아
yna.kr,연합뉴스
www.digitaltoday.co.kr,디지털투데이
www.ftoday.co.kr,파이낸셜투데이
www.dailypop.kr,데일리팝
www.ytn.co.kr,YTN
it.chosun.com,IT 조선
www.donga.com,동아닷컴
www.joongboo.com,중부일보
www.ciokorea.com,CIO Korea
www.etnews.com,전자신문
www.dt.co.kr,디지털타임스
www.g-enews.com,글로벌이코노믹
www.ddaily.co.kr,디지털데일리
moneys.mt.co.kr,머니S
www.kdpress.co.kr,데일리경제
www.datanews.co.kr,데이터뉴스
kbench.com,케이벤치
www.newspim.com,뉴스핌
www.sedaily.com,서울경제
www.ebn.co.kr,EBN
www.wowtv.co.kr,한국경제TV
kpenews.com,한국정경신문
www.itdaily.kr,아이티데일리
www.jbnews.com,중부매일
www.ccdailynews.com,충청일보
www.fnnews.com,파이낸셜뉴스
www.ceoscoredaily.com,CEO스코어데일리
star.mk.co.kr,스타투데이
www.newsis.com, 뉴시스통신사
sports.khan.co.kr,스포츠경향
news.mt.co.kr,머니투데이
kor.theasian.asia,NEXT NEWS NETWORK
www.lcnews.co.kr,라이센스뉴스
news.sbs.co.kr,SBS 뉴스
news.tvchosun.com,TV조선뉴스
biz.chosun.com,조선biz
news.kbs.co.kr,KBS
www.kihoilbo.co.kr,기호일보
www.gokorea.kr,(주)공감신문
www.nbntv.co.kr,내외경제TV
www.sentv.co.kr,서울경제TV SEN
news.heraldcorp.com, 헤럴드경제
hankookilbo.com,한국일보
www.nbnnews.co.kr,내외뉴스통신
biz.heraldcorp.com, 헤럴드경제
science.ytn.co.kr,YTN 사이언스
www.newsen.com,뉴스엔
www.cstimes.com,컨슈머타임스
www.ekoreanews.co.kr,이코리아
www.wikitree.co.kr,위키트리
www.ekn.kr,에너지경제신문
www.idsn.co.kr,매일안전신문
www.gamemeca.com,게임메카
www.ksilbo.co.kr,경상일보
www.technoa.co.kr,테크노아
www.nextdaily.co.kr,넥스트데일리
www.osen.co.kr,OSEN
www.topstarnews.net,톱스타뉴스
news.einfomax.co.kr,연합인포맥스
www.m-i.kr,매일일보
byline.network,Byline Network
view.asiae.co.kr,아시아경제
www.news1.kr,뉴스1
www.hortitimes.com,월간원예
www.ilovepc.co.kr,스마트PC사랑
www.segye.com,세계일보
www.kidd.co.kr,산업일보
www.cctvnews.co.kr,CCTV뉴스
www.radiokorea.com,라디오코리아
news.joins.com,중앙일보
www.domin.co.kr,전북도민일보
www.jjn.co.kr,전북중앙신문
www.nytimes.com,The New York Times
www.hellot.net,www.hellot.net
www.obsnews.co.kr,OBS경인TV
www.youthdaily.co.kr,청년일보
kookbang.dema.mil.kr,국방일보
www.ajunews.com,아주경제
news.wowtv.co.kr,한국경제TV
www.chosun.com,조선일보
monthly.chosun.com,월간조선
www.kukinews.com,쿠키뉴스
www.ggilbo.com,금강일보
www.seoul.co.kr,서울신문
medicalworldnews.co.kr,메디컬월드뉴스
www.namdonews.com,남도일보
www.namdonews.com,남도일보
www.dnews.co.kr,e대한경제
www.knnews.co.kr,경남신문
www.nongmin.com,농민신문
www.epnc.co.kr,테크월드뉴스
www.hkbs.co.kr,환경일보
news.khan.co.kr,경향신문
www.dentalnews.or.kr,치과신문
it.donga.com,IT동아
www.munhwa.com,문화일보
www.newscj.com,천지일보
tjmbc.co.kr,대전MBC
www.dkilbo.com,대경일보
www.aitimes.kr,인공지능신문
www.job-post.co.kr,잡포스트
www.ifm.kr,경인방송
www.lawissue.co.kr,로이슈
www.hankyung.com,한국경제
www.nocutnews.co.kr,노컷뉴스
www.interview365.com,인터뷰365
www.businesspost.co.kr,비즈니스포스트
www.worktoday.co.kr,워크투데이
news.jtbc.joins.com,JTBC 뉴스
www.dailyvet.co.kr,데일리벳
www.insight.co.kr,인사이트
