domain,title,description,pubDate,cat,link
스타투데이,하정우·주진모 휴대폰 해킹·협박 부부 2심도 실형,"배우 하정우, 주진모 등 연예인들의 휴대전화를 해킹한 뒤 개인정보를 유출하겠다고 협박해 돈을 뜯어낸... 김씨 부부는 지난 2019년부터 약 2~3개월간 보이스시핑(전화사기) 구조로 유명 연예인 8명의 휴대폰을 해킹해... ",2021-02-02 13:57:00,해킹,http://star.mk.co.kr/new/view.php?mc=ST&year=2021&no=108926
머니투데이,"하정우·주진모 휴대폰 해킹·협박한 가족 일당, 2심도 실형","[[theL] 주진모, 하정우 등 연예인 피해자들 휴대전화 해킹] 배우 주진모, 하정우씨 등 연예인들의 휴대전화를 해킹한 뒤 협박과 함께 돈을 요구한 가족들이 2심에서도 실형을 선고받았다. 서울중앙지법 형사항소4부... ",2021-02-02 13:54:00,해킹,http://news.mt.co.kr/mtview.php?no=2021020213504962942
중부매일,"극동대 해킹보안학과-정보보안기업 코드원, 산학협력 체결",인공지능 활용 보안 취약점 제거 연구… 우수 졸업생 2명 연구원 채용 ［중부매일 서인석 기자］ 음성 극동대학교(총장 류기일) 해킹보안학과와 정보보안기업 코드원은 인공지능을 활용한 보안 취약점 제거 연구... ,2021-02-02 13:49:00,"보안 취약점, 해킹",http://www.jbnews.com/news/articleView.html?idxno=1325339
디지털투데이 (DigitalToday),"래피드7, 쿠버네티스 보안 업체 AI사이드 인수",래피드7에 따르면 기업들은 AI사이드 클라우드 워크로드 보호 플랫폼(CWPP)에 래피드7 기존 클라우드 보안 서비스를 결합해 애플리케이션 보안 관리를 위한 보다 통합된 플랫폼을 활용할 수 있다. 래피드7은... ,2021-02-02 13:48:00,클라우드 보안,http://www.digitaltoday.co.kr/news/articleView.html?idxno=262758
충청일보,"극동대 해킹보안학과, 코드원과 산학협력 체결",극동대학교(총장 류기일) 해킹보안학과는 정보보안기업인 코드원과 인공지능을 활용한 보안 취약점 제거 연구분야에 대한 산학협력을 체결했다. 코드원은 S/W 취약점 분석에 대한 전문기업으로 자체 솔루션 AMS(Appscan... ,2021-02-02 13:33:00,"보안 취약점, 해킹",http://www.ccdailynews.com/news/articleView.html?idxno=2033318
서울경제,해커집단 어나니머스 말레이 정부 사이트 공격했다···말레이 정부는 부인,국제 해커집단 '어나니머스'(Anonymous)의 하부조직을 자처하는 '어나니머스 말레이시아'가 말레이시아 정부 사이트를 연속해서 공격했다고 주장했다. 2일 말레이메일 등에 따르면 어나니머스 말레이시아는 지난달 31일 밤... ,2021-02-02 13:09:00,"해커, 어나니머스",https://www.sedaily.com/NewsView/22IDJDDFRC
머니S - 돈이 보이는 스페셜 뉴스,"안랩, 차세대방화벽 ‘트러스가드’ 하이엔드 모델 3종 출시","안랩은 네트워크 트래픽이 증가하는 환경에 맞춰 차세대 방화벽 ‘안랩 트러스가드’의 성능을 향상시킨... 안랩에 따르면 기존 동급 모델(1000A·5000A·10000A)보다 방화벽 트래픽 처리 성능이 약 1.5배 향상됐고, 관리... ",2021-02-02 13:05:00,방화벽,http://moneys.mt.co.kr/news/mwView.php?no=2021020212598014244
파이낸셜뉴스,'주진모·하정우 등 해킹·협박' 가족공갈단 2심도 실형,배우 주진모와 하정우를 포함한 연예인 8명의 휴대폰을 해킹하고 협박한 혐의로 재판에 넘겨진... 이들은 지난 2019년부터 약 2~3개월간 보이스피싱(전화사기) 구조로 연예인 8명의 휴대폰을 해킹해 협박한 후 총... ,2021-02-02 13:05:00,해킹,http://www.fnnews.com/news/202102021303280059
스포츠경향 | 뉴스배달부,하정우 휴대전화 해킹해 협박한 자매부부…2심도 실형,배우 하정우와 주진모를 비롯한 연예인들의 휴대전화를 해킹한 뒤 개인정보를 유출하겠다고 협박해 돈을... 김씨 부부는 유명 연예인의 휴대전화와 인터넷 계정을 해킹한 뒤 신상 정보를 유출하겠다고 협박해 1인당... ,2021-02-02 12:47:00,해킹,http://sports.khan.co.kr/news/sk_index.html?art_id=202102021247003&sec_id=540101&pt=nv
 :: 공감언론 뉴시스통신사 :: ,"'주진모 해킹' 가족 공갈단, 2심도 실형…죄질 나쁘다",배우 주진모씨 등 유명 연예인들의 휴대전화를 해킹해 빼낸 자료를 바탕으로 돈을 요구한 혐의로 재판에... 김씨 등은 지난 2019년 2월부터 같은해 12월까지 연예인 8명의 휴대전화 클라우드를 해킹해 개인적인 자료를... ,2021-02-02 12:30:00,해킹,http://www.newsis.com/view/?id=NISX20210202_0001326626&cID=10201&pID=10200
