domain,title,description,pubDate,cat,link
대한민국 오후를 여는 유일석간 문화일보 munhwa.com,정부·공공기관 데이터 암호화해 모은 초대형 시스템 만든다,기관별 데이터는 암호화된 상태로 결합·활용할 수 있도록 최신 암호 기술을 적용해 개인정보 유출 우려를 막는다. 통계청은 1일 이런 내용을 담은 ‘K-통계시스템 구축 추진 계획’을 발표했다. K-통계시스템은 중앙 부처... ,2021-02-01 16:20:00,정보유출,http://www.munhwa.com/news/view.html?no=20210201MW161849256643
보안뉴스,"北 탈륨 해커조직, 러시아 경제 연구원 대상 사이버공격 펼쳤다","탈륨, 한국·미국뿐만 아니라 러시아 연구원 겨냥한 사이버 공격 시도2019년 국내 공격 시 사용한 명령제어 서버 이번 공격에 재활용유사 공격사례의 악성문서 파일에서도 북한 글꼴(폰트) 사용 발견[보안뉴스 ]... ",2021-02-01 16:12:00,해커,http://www.boannews.com/media/view.asp?idx=94600&kind=
믿을수 있는 인터넷 언론 CNB뉴스,"우리금융, ‘그룹공동 클라우드’ 플랫폼 구축","▲ CNB뉴스, CNBNEWS, 씨앤비뉴스 우리금융그룹이 디지털 혁신 추진의 일환으로 ‘그룹공동 클라우드’ 플랫폼을 구축했다고 1일 밝혔다. 그룹공동 클라우드는 우리은행 등 자회사 개별 시스템을 통합해 서버와... ",2021-02-01 15:39:00,클라우드,http://www.cnbnews.com/news/article.html?no=478187
www.betanews.net:8080,"샤오미 미밴드6, 출시 정보 유출",샤오미의 2021년 스마트밴드인 미밴드6에 관련된 정보가 유출돼 관심이 집중된다. IT전문 매체 HT테크에 따르면 샤오미가 올해 선보일 미밴드6는 스마트홈 장치와 내장 GPS 수신기 등을 제공할 예정이다. 매체는... ,2021-02-01 15:38:00,정보유출,http://www.betanews.net:8080/article/1252715.html
데일리시큐,[데이터융합포럼 특별기고-5] '가명정보결합'이란 무엇이고…문제는 뭘까?,"일반적으로 결합 ID값을 만드는 방법은 해시 알고리즘을 이용하고, 사용변수로 생년월일, 성명, 성별, 솔트값(정보유출 방지를 위해 사용하는 난수값) 등을 활용하여 결합용 ID값을 만들게 된다. 이렇게 만들어진 ID값을... ",2021-02-01 15:27:00,정보유출,https://www.dailysecu.com/news/articleView.html?idxno=120230
국제뉴스,"대구광역시, 공동주택관리규약 준칙 개정","다음으로 공동주택에 지능형 홈네트워크 시스템이 설치된 경우, 설치된 홈네트워크 설비의 보안취약점을 개선하는 등 관리주체의 지속적인 시스템 유지·관리 의무를 신설했다. 김용술 대구시 건축주택과장은 이번에... ",2021-02-01 15:26:00,보안 취약점,http://www.gukjenews.com/news/articleView.html?idxno=2154400
데일리팝,"[그것이궁금] 나만 알아야 할 개인정보, 유출 막아주는 '정보보호상시평가제'",개인 정보유출이 전세계적인 문제로 떠오르면서 소비자들의 걱정을 사고 있습니다. 특히 온라인 활동량이 많은 젊은 자취생의 경우 주변 도움이나 정보 접근성이 어려워 정보유출에 대한 예방에 취약한데요.... ,2021-02-01 15:00:00,정보유출,http://www.dailypop.kr/news/articleView.html?idxno=48901
연합뉴스,정부·공공기관 데이터 암호화해 모은 초대형 시스템 만든다,기관별 데이터는 암호화된 상태로 결합·활용할 수 있도록 최신 암호 기술을 적용해 개인정보 유출 우려를 막는다. 통계청은 1일 이런 내용을 담은 'K-통계시스템 구축 추진 계획'을 발표했다. K-통계시스템은 중앙 부처... ,2021-02-01 15:00:00,정보유출,http://yna.kr/AKR20210201098100002?did=1195m
시사뉴스,"케이비시스, 클라우드 네이티브 컴퓨팅 재단(CNCF) 공인 KCSP 자격 획득", 하이브리드 클라우드 및 에지 컴퓨팅 전문기업 케이비시스(대표 김기백)가 최근 클라우드 네이티브 컴퓨팅 재단(CNCF)으로부터 쿠버네티스 서비스 인증 기업(KCSP) 자격을 획득했다고 밝혔다. KCSP는 쿠버네티스... ,2021-02-01 14:44:00,클라우드,https://www.sisa-news.com/news/article.html?no=145491
아시아경제 : 내일을 바꾸는 힘,"케이비시스, 클라우드 네이티브 컴퓨팅 재단(이하 CNCF : Cloud Native Compu...","하이브리드 및 에지 클라우드 구축 컨설팅 전문기업, 케이비시스 (김기백 대표)는 오픈소스 클라우드 네이티브 재단 CNCF (Cloud Native Computing Foundation)의 KCSP(Kubernetes Certified Service Provider) 인증을 획득하였다”고... ",2021-02-01 14:36:00,클라우드,https://view.asiae.co.kr/article/2021020114373537465
G밸리,"케이비시스, 오픈소스 클라우드 네이티브 재단 CNCF의 KCSP자격 인증 획득",하이브리드 및 에지 클라우드 구축 컨설팅 전문기업 케이비시스가 오픈소스 클라우드 네이티브 재단 Cloud Native Computing Foundation의 Kubernetes Certified Service Provider 인증을 획득했다. KCSP는 쿠버네티스에 대한 지원... ,2021-02-01 14:26:00,클라우드,http://www.gvalley.co.kr/news/articleView.html?idxno=576212
파이낸셜투데이,"[단독] 태영건설, 기자 개인정보 유출 논란…취재 들어가자 시행사에 책임 떠...",사진=네이버 지도 캡쳐 태영건설이 시공을 맡고 ㈜서영건설 플러스가 시행에 나선 '구리갈매 아너시티' 현장에서 개인정보 유출이 발생해 논란이 일고 있다. 태영건설은 시공사라며 시행사인 ㈜서영건설플러스에 책임을... ,2021-02-01 14:25:00,정보유출,http://www.ftoday.co.kr/news/articleView.html?idxno=210938
"
	오마이뉴스 - 모든 시민은 기자다
","남해병원, 초기 방화벽 정상 작동해 인명 피해 막아","남해군은 화재 발생 초기 방화벽이 정상 작동하면서 인명 피해를 막을 수 있었다고 밝혔다. 화재는 1일 오전 1시 54분경 지하 1층에서 났다. 화재 원인은 아직 밝혀지지 않았고, 소방당국은 원인 조사중이다. 화재가 날... ",2021-02-01 13:34:00,방화벽,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002716107&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
디지털투데이 (DigitalToday),"티맥스오에스-시트릭스, 리눅스 OS 기반 서비스형 데스크톱 사업 협력",티맥스오에스가 시트릭스와 서비스형 데스크톱(Desktop as a Service: DaaS) 시장을 공략한다. 티맥스 운영체제 부문 관계사인 티맥스오에스(대표 허희도)는 글로벌 업체 시트릭스코리아(지사장 이동운)와 개방형OS... ,2021-02-01 11:00:00,리눅스,http://www.digitaltoday.co.kr/news/articleView.html?idxno=262551
전자신문,차세대 방화벽·VPN 기업 엑스게이트 2020년 매출 235억원 돌파,"차세대 방화벽·가상사설망(VPN) 기업 엑스게이트가 창업 10년 만에 매출 200억원대 고지를 밟았다. 10년째 연속 흑자도 기록, 차세대 방화벽·VPN 시장에서 선두 주자임을 재확인했다. 엑스게이트(대표 주갑수)는... ",2021-02-01 10:46:00,방화벽,http://www.etnews.com/20210201000077
테크놀로지 리더를 위한 글로벌 IT 뉴스 - ITWorld Korea,솔라윈즈 공격에 대비해 액티브 디렉터리 보안을 강화하는 방법,"솔라윈즈/솔로리게이트(SolarWinds/Solorigate) 공격에는 몇 가지 우려스러운 방식이 사용됐는데, 그중 하나가 골든SAML이라고 하는 공격 프로세스다. SAML(Security Assertion Mar 신뢰할 수 있는 당사자 간의 인증 및 허가 정보... ",2021-02-01 10:34:00,솔라윈즈,http://www.itworld.co.kr/news/181269
IT비즈뉴스(ITBizNews)-아이티비즈뉴스,"엔쓰리엔클라우드, 가톨릭대와 AI산학협력 '맞손'…공동사업 추진","라준영 가톨릭대학교 혁신선도대학사업단장, (왼쪽 네번째) 이규정 엔쓰리엔클라우드 대표 [사진=엔쓰리엔클라우드] 엔쓰리엔클라우드가 1일 가톨릭대학교 혁신선도대학사업단과 4차 산업혁명 혁신선도대학사업... ",2021-02-01 10:31:00,클라우드,https://www.itbiznews.com/news/articleView.html?idxno=29097
보안뉴스,"[2.1 보안 이슈투데이] 만리방화벽, 왓츠앱 웜, 북한 징크","중국 정부, 셰도우속스 통한 만리방화벽 차단하려 탐지 기술 강화했지만왓츠앱 통해 퍼지는 안드로이드... ‘만리방화벽’을 우회하는 방법들이 개발되고 있고, 중국 정부도 이를 막으려 만리방화벽을 강화하고... ",2021-02-01 10:28:00,방화벽,http://www.boannews.com/media/view.asp?idx=94586&kind=
IT세상을 바꾸는 힘 지디넷코리아,"아크로니스, 파트너 지원 프로그램 강화…클라우드 비즈니스 초점","아크로니스는 1일 클라우드 비즈니스 강화에 초점을 맞춘 파트너 성장 지원 프로그램 사이버핏 파트너 프로그램 업데이트 내용을 발표했다. 이번 발표에는 신규 파트너 발굴, 클라우드 기반 서비스 지원 강화, 서비스... ",2021-02-01 10:00:00,클라우드,https://zdnet.co.kr/view/?no=20210201100000
www.hellot.net,"아크로니스, 새로운 파트너 프로그램으로 '클라우드 비즈니스' 겨냥","신규 파트너 발굴 및 클라우드 기반 서비스 지원 강화 아크로니스는 오늘, 클라우드 비즈니스 강화에 초점을 맞춘 사이버핏(CyberFit) 파트너 프로그램에 새롭게 업데이트된 내용을 발표했다. ▲아크로니스는 파트너사... ",2021-02-01 09:52:00,클라우드,http://www.hellot.net/new_hellot/magazine/magazine_read.html?code=202&sub=004&idx=56439
IT 조선 - 기술로 세상을 바꾸는 사람들의 놀이터,"해커, 美 US셀룰러 CRM 통해 고객 데이터 탈취","분야 해커들은 미국 휴대폰 소매점의 컴퓨터에 악성코드(멀웨어)를 설치해 내부 시스템에 접근했다. 미국 버몬트주 검찰총장실에 접수된 위반 통보에 따르면, 해커의 공격은 1월 4일부터 시작됐다. 해커들은 CRM... ",2021-02-01 09:47:00,해커,http://it.chosun.com/site/data/html_dir/2021/02/01/2021020100817.html
스포츠조선,"우리금융그룹, '그룹공동 클라우드' 플랫폼 구축…디지털 혁신 박차",우리금융그룹은 디지털 혁신 추진의 일환으로 '그룹공동 클라우드' 플랫폼을 구축했다고 1일 밝혔다. 그룹공동 클라우드는 우리은행 등 자회사 개별 시스템을 통합해 서버와 네트워크 등 IT자원을 필요한 만큼만... ,2021-02-01 09:16:00,클라우드,http://sports.chosun.com/news/ntype.htm?id=202102010100004990000135&servicedate=20210201
데일리한국,"우리금융, ‘그룹공동 클라우드’ 플랫폼 구축",우리금융그룹은 그룹 디지털 혁신 추진의 일환으로 ‘그룹공동 클라우드’ 플랫폼을 구축했다고 1일 밝혔다. 그룹공동 클라우드는 우리은행 등 자회사 개별 시스템을 통합해 서버와 네트워크 등 IT자원을 필요한... ,2021-02-01 09:16:00,클라우드,https://daily.hankooki.com/lpage/finance/202102/dh20210201091042148320.htm?s_ref=nv
이뉴스투데이,"엔쓰리엔클라우드-가톨릭대학교, 인공지능 산학협력에 앞장",인공지능 플랫폼 전문기업 엔쓰리엔클라우드는 가톨릭대학교 혁신선도대학사업단과 '4차 산업혁명 혁신선도대학사업을 위한 공동교육 및 사업협력 협약'를 체결했다고 1일 밝혔다. [사진=엔쓰리엔클라우드] 인공지능... ,2021-02-01 08:54:00,클라우드,http://www.enewstoday.co.kr/news/articleView.html?idxno=1448717
팍스넷뉴스,"[만나봤더니] [블록체人] 대기업이 개인정보로 버는 수입, 공정한가",IT기술 혁신으로 새로운 유형의 비즈니스가 등장하며 이루다와 같은 개인정보유출 사고가 늘고 있다. 악의적인 사용으로 인해 피해가 발생하는 것은 아니지만 일상에서 일반 사용자의 개인정보는 대기업의 빅데이터로... ,2021-02-01 08:03:00,정보유출,https://www.paxnetnews.com/articles/70134
보안뉴스,"한국 자동차 부품기업, 다크웹에 내부 데이터 유출됐다","다크웹 랜섬웨어 조직 ‘넷워커’, 수사기관에 의해 덜미 잡혀 정보유출 사이트 압수되는 성과도 [보안뉴스 권 준 기자] 다크웹에 데이터를 공개하는 방식으로 기업들을 협박하는 랜섬웨어 해커조직들이 활개를... ",2021-01-31 23:35:00,정보유출,http://www.boannews.com/media/view.asp?idx=94584&kind=
"경기일보 - 1등 유료부수, 경기·인천 대표신문",도내 31개 시군 정보보안 평가...안산시 도내 유일 C등급 보완관리 취약,이와 관련 도 관계자는 지자체별로 어떤 분야에서 정보보안 취약점을 드러냈는지는 보안상의 이유로 말할 수 없다면서도 각 지자체별로 이번 평가에서 지적받은 사항에 대해 조치 결과를 경기도로 제출하라고 했다고... ,2021-01-31 21:01:00,보안 취약점,http://www.kyeonggi.com/news/articleView.html?idxno=2344069
아이티데일리,[인터뷰] 네트워크·클라우드 보안으로 안전한 뉴노멀 시대 구현,"기업들은 IT, IoT, OT, 모바일 환경에 대한 보안 취약점들을 찾아내 대응하는 한편, 보안 강화, 감사 강화, 보안의 자동 대응을 준비해야 할 것이라고 말했다. 최원식 지사장을 만나 지난해 체크포인트코리아의 주요 이슈와... ",2021-01-31 20:00:00,보안 취약점,https://www.itdaily.kr/news/articleView.html?idxno=201652
IT 조선 - 기술로 세상을 바꾸는 사람들의 놀이터,두달 동안 개인정보 유출 사실 모른 한심한 KBS,"응시자 개인정보 유출은 정보 백업 중 발생했으며, KBS 한국어진흥원 측은 2달 이상 문제를 발견하지 못했다. KBS한국어진흥원은 2019년 11월 2일 시행된 제17회 ‘책과 함께, KBS한국어능력시험’에 참가한 응시자의... ",2021-01-31 19:49:00,정보유출,http://it.chosun.com/site/data/html_dir/2021/01/31/2021013100800.html
데일리시큐,"트릭봇 악성코드, 다시 살아나…랜섬웨어 등 각종 멀웨어 확산에 활용",또 랜섬웨어를 포함한 다른 악성 페이로드를 전달하는 수단으로 주로 활용됐다. 이런 공격은 잠재적 인 피해자가 악성 페이로드를 다운로드하는 서버로 리디렉션하는 링크를 클릭하도록 유도하는 피싱 이메일과... ,2021-01-31 16:42:00,랜섬,https://www.dailysecu.com/news/articleView.html?idxno=120191
IT세상을 바꾸는 힘 지디넷코리아,소스코드 취약점 찾는 것이 시큐어코딩 아니다,"시큐어코딩은 애플리케이션 소스코드 작성 과정에서 생기는 보안 취약점을 분석해 제거하는 기술을 뜻한다. 조직 내 보안 담당자가 사용자인 타 보안 제품과 달리, 소스코드를 작성하는 개발자가 사용자가 된다.... ",2021-01-31 14:41:00,보안 취약점,https://zdnet.co.kr/view/?no=20210129171830
[테크노아] - Digital Community Techno@,"레드햇, 레드햇 엔터프라이즈 리눅스 제공 범위 확대",엔터프라이즈 리눅스 제공 프로그램을 새로 추가한다고 밝혔다. 소규모 프로덕션 워크로드를 위한 무료 레드햇 엔터프라이즈 리눅스 센트OS리눅스가 무료 리눅스 배포판을 제공한 것처럼 무료 레드햇 엔터프라이즈... ,2021-01-31 12:08:00,리눅스,http://www.technoa.co.kr/news/articleView.html?idxno=91704
ë§¤ì�¼ì•ˆì „ì‹ ë¬¸,"데이터복구 전문 '예스컴' 소디노키비, 클롭 랜섬웨어복구 대행 비용 무료",데이터복구 전문업체 '예스컴'에서는 최근 개인 및 기업의 랜섬웨어 피해가 급증함에 따라 소비자들의... 특히 코로나19로 재택 근무가 증가하면서 일시적으로 보안이 취약해진 틈을 타 랜섬웨어 관련 범죄가 대폭... ,2021-01-29 18:45:00,랜섬,http://www.idsn.co.kr/news/articleView.html?idxno=40144
뉴스락,카카오톡 신기능 '카톡 멀티프로필' 등장...개인 정보 유출 우려에 사용 망설...,"국내 최대 이용자 수를 보유하고 있는 카카오톡 메신저에 멀티프로필 기능이 도입된 가운데, 일부 이용자들은 개인정보 유출에 대한 우려를 표했다. 29일 업계에 따르면 지난 28일 카카오톡은 메신저 이용 시 여러 개의... ",2021-01-29 16:15:00,정보유출,http://www.newslock.co.kr/news/articleView.html?idxno=35844
OSEN,"외국인 선수도 개명, 한화 킹엄→킹험…제2의 해커될까",외국인 선수가 등록명을 바꾼 케이스로는 NC에서 활약한 투수 에릭 해커가 있다. 해커는 2013년 NC 유니폼을 입고 데뷔할 때 성 대신 이름 ‘에릭’을 등록명으로 썼다. 당시 창단 첫 해였던 NC는 외국인 투수 3인방... ,2021-01-29 14:03:00,해커,http://www.osen.co.kr/article/G1111514074
IT 조선 - 기술로 세상을 바꾸는 사람들의 놀이터,정부發 5G MEC 활성화에 보안업계 기대감 증폭,"5G를 비롯해 엣지 컴퓨팅을 도입하는 기업이 늘어날수록 보안 취약점을 보완해야 할 필요성이 크기 때문이다. 엣지 컴퓨팅은 작업을 수행하는 기기가 늘어나므로, 해커들이 공격할 수 있는 표면 역시 확장된다. 즉... ",2021-01-29 06:04:00,보안 취약점,http://it.chosun.com/site/data/html_dir/2021/01/28/2021012802783.html
보안뉴스,양자암호통신·비대면 서비스 보안 등 ‘K-사이버 방역’ 주요 과제 추진한다,"오는 4월부터 신청기업을 모집해 12월까지 지원할 예정이며, 컨설팅을 통해 보안 취약점을 발견하고, 이를 제거하기 위한 솔루션 도입을 지원한다.KISA 이중구 센터장은 “코로나19 확산으로 중소·영세기업도 비대면... ",2021-01-28 17:50:00,보안 취약점,http://www.boannews.com/media/view.asp?idx=94503&kind=
